path	text
wav/HS-begon-els-t-zulfs-schier-te-vinden.wav	begon els t zulfs schier te vinden
wav/HS-hinterdetwinter-in-t-blaikveld-stoan-nou-al-vroug-in-t-veujoar.wav	hinterdetwinter in t blaikveld stoan nou al vroug in t veujoar
wav/RB-wel-n-asemmer-omschopt-dut-nait-meer-mit.wav	wèl n asemmer omschopt dut nait meer mit
wav/GD-ze-wazzen-even-stiekom-mit-heur-baaident-aan-t-smikkeln.wav	ze wazzen even stiekom mit heur baaident aan t smikkeln
wav/GD-wat-mos-ze-den-wensen.wav	wat mos ze den wensen
wav/HS-want-ze-haiten-ook-wel-snijklokjes.wav	want ze haiten ook wel snijklokjes
wav/GD-mor-de-stroalen-schitterden-zo-dat-t-haile-koamertje-der-licht-van-wor.wav	mor de stroalen schitterden zo dat t haile koamertje der licht van wör
wav/OV-zai-vuilde-heur-din-zo-allinneg.wav	zai vuilde heur din zo allinneg
wav/GD-doar-paasde-zai-ins-nait-tussen-met-heur-korde-nachtponne-aan.wav	doar paasde zai ins nait tussen met heur körde nachtponne aan
wav/OV-elk-popke-kwam-tot-leven.wav	elk popke kwam tot leven
wav/GD-mor-dat-zag-gelokkeg-gainaine.wav	mor dat zag gelokkeg gainaine
wav/HS-ales-beter-as-hier-mor-wat-in-t-duuster-te-liggen-nait.wav	ales beter as hier mor wat in t duuster te liggen nait
wav/GD-paulien-kreeg-n-dikke-bos-bloumen-mit-laange-blaauwe-linten-der-aan.wav	paulien kreeg n dikke bos bloumen mit laange blaauwe linten der aan
wav/RB-dkinder-op-school-ploagen-hom-doarmit.wav	dkinder op school ploagen hom doarmit
wav/GD-mit-steert-tussen-de-pootjes-luip-hai-den-mor-weer-vot-en-jankde-zachies-veur-zok-uut.wav	mit steert tussen de pootjes luip hai den mor weer vot en jankde zachies veur zok uut
wav/GD-ze-stapte-t-grode-teneel-op-en-ging-op-t-krukje-zitten-achter-n-grode-widde-vleugelpioano.wav	ze stapte t grode teneel op en ging op t krukje zitten achter n grode widde vleugelpioano
wav/RB-hielemoal-van-neis-vaarfd-rooie-ziekanten-met-n-gruun-dakje.wav	hielemoal van neis vaarfd rooie ziekanten met n gruun dakje
wav/GD-mit-zien-staarke-tanden-trok-hai-t-jonkje-aan-de-kleren-uut-t-wotter.wav	mit zien staarke tanden trok hai t jonkje aan de kleren uut t wotter
wav/GD-t-was-ook-ja-n-hail-biezundere-swieniegel.wav	t was ook ja n hail biezundere swieniegel
wav/GD-van-wel-hest-dij-kregen.wav	van wèl hest dij kregen
wav/HS-t-was-nog-volop-winter-in-toen.wav	t was nog volop winter in toen
wav/HS-en-achterin-stonden-nog-wat-riegen-weckpotten-op-plaank.wav	en achterin stonden nog wat riegen weckpotten op plaank
wav/HS-al-was-grond-wel-lekker-zaacht.wav	al was grond wel lekker zaacht
wav/GD-paulien-en-alfred-haren-de-haile-dag-speuld-in-de-dreuge-sloot-dij-tussen-baaide-huzen-lag.wav	paulien en alfred haren de haile dag speuld in de dreuge sloot dij tussen baaide huzen lag
wav/GD-dou-was-der-meziek-in-de-koele-onder-de-hege.wav	dou was der meziek in de koele onder de hege
wav/GD-ze-luip-t-middenpad-deur-en-ale-mensen-begonnen-haard-te-klappen.wav	ze luip t middenpad deur en ale mensen begonnen haard te klappen
wav/RB-ze-vladderden-hiel-driest-op-de-til-of.wav	ze vladderden hiel driest op de til òf
wav/GD-aaltied-wuir-hai-ofblaft-omdat-e-zo-swaart-was.wav	aaltied wuir hai ofblaft omdat e zo swaart was
wav/GD-en-midden-in-dij-kertonnen-deuze-lag-n-lutje-hondje.wav	en midden in dij kertonnen deuze lag n lutje hondje
wav/HS-hufst-nait-baang-wezen.wav	hufst nait baang wezen
wav/GD-pa-en-moe-en-oma-mozzen-der-haard-om-laggen.wav	pa en moe en oma mozzen der haard om laggen
wav/HS-och-t-zol-wel-n-kestaanjetak-wezen-onnaaierde-ze.wav	och t zol wel n kestaanjetak wezen onnaaierde ze
wav/HS-en-hil-heur-stief-aan-klaiden-vaast.wav	en hil heur stief aan klaiden vaast
wav/RB-hai-woont-hailmoal-achteraan-in-dstroat.wav	hai woont hailmoal achteraan in dstroat
wav/GD-nou-den-zel-t-wel-zo-wezen.wav	nou den zel t wel zo wezen
wav/HS-mor-daandere-bloumbollen-raipen-heur-tot-order.wav	mor daandere bloumbollen raipen heur tot order
wav/GD-dou-gingen-de-mensen-weer-zitten.wav	dou gingen de mensen weer zitten
wav/RB-benaneschil-mout-je-nait-op-dstroat-gooien-hur.wav	benaneschil mout je nait op dstroat gooien hur
wav/HS-doar-ging-t-hin.wav	doar ging t hìn
wav/GD-eerst-hail-zachies-bewogen-heur-handen-over-de-toetsen.wav	eerst hail zachies bewogen heur handen over de toetsen
wav/GD-ze-keek-ais-bie-zok-laangs-en-ze-haar-weer-heur-korde-nachtponne-aan.wav	ze keek ais bie zok laangs en ze haar weer heur körde nachtponne aan
wav/RB-as-moeke-aan-t-siepels-snieden-is-den-het-ze-troanen-in-dogen.wav	as moeke aan t siepels snieden is den het ze troanen in dogen
wav/HS-en-hilden-ale-bloumbollen-heur-wintersloap.wav	en hilden ale bloumbollen heur wintersloap
wav/RB-of-zai-k-der-nait-gezond-uut-meschien.wav	of zai k der nait gezond uut meschien
wav/HS-kroop-ze-tot-ber-oet-en-ging-veur-t-roam-van-t-akkenailtje-stoan.wav	kroop ze tot bèr oet en ging veur t roam van t akkenailtje stoan
wav/HS-dat-vertellen-wie-die-loater-wel.wav	dat vertellen wie die loater wel
wav/OV-dizze-keer-zel-ik-ze-veul-langer-bakken-din-kieken-we-wat-der-gebeurt.wav	dizze keer zel ik ze veul langer bakken din kieken we wat der gebeurt
wav/HS-mor-of-ze-nog-n-moal-weer-mitging.wav	mor of ze nog n moal weer mitging
wav/GD-wiert-mos-der-aalweg-noar-kieken.wav	wiert mos der aalweg noar kieken
wav/HS-dij-ging-as-eerste-weer-op-pad.wav	dij ging as eerste weer op pad
wav/RB-k-heb-net-n-lekker-appeltje-opeten.wav	k heb net n lekker appeltje opeten
wav/OV-en-ook-aapmoal-weer-n-beetje-verschillend.wav	en ook aapmoal weer n beetje verschillend
wav/HS-en-t-zat-ook-nog-potdicht-van-de-mist.wav	en t zat ook nog potdicht van de mist
wav/OV-nou-zellen-ze-wel-kloar-wezen.wav	nou zellen ze wel kloar wezen
wav/HS-zo-ist-ook-oflopen.wav	zo ist ook òflopen
wav/GD-gelokkeg-scheen-de-moane-mit-volle-wangen.wav	gelokkeg scheen de moane mit volle wangen
wav/OV-zee-hebt-ons-bevriejd-en-dat-viere-wiej.wav	zee hebt ons bevriejd en dat viere wiej
wav/OV-en-zo-is-t-kommen-dat-der-zoveul-verschillende-kiender-op-de-wereld-kommen-binnen.wav	en zo is t kommen dat der zoveul verschillende kiender op de wereld kommen binnen
wav/OV-gonnent-waren-blaik-aandern-waren-rozeachteg-wit-en-weer-aandern-roomwit.wav	gonnent waren blaik aandern waren rozeachteg wit en weer aandern roomwit
wav/OV-vandage-is-t-bevriejdingsdag.wav	vandage is t bevriejdingsdag
wav/HS-wel-dat-dudelk-vernemen-kon-was-swaarde-mol.wav	wel dat dudelk vernemen kon was swaarde mol
wav/RB-t-was-krekt-of-t-hielemoal-veur-heur-beident-moakt-was.wav	t was krekt of t hielemoal veur heur beident moakt was
wav/HS-ze-leken-nait-kwoad.wav	ze leken nait kwoad
wav/RB-k-wait-zeker-dat-gainain-mie-vinden-kin.wav	k wait zeker dat gainain mie vinden kin
wav/HS-haar-ze-dat-wel-goud-heurd.wav	haar ze dat wel goud heurd
wav/HS-t-leek-hail-nait-op-n-wit-wief.wav	t leek hail nait op n wit wief
wav/GD-woar-waren-heur-mooie-bloumen-mit-de-laange-linten.wav	woar waren heur mooie bloumen mit de laange linten
wav/GD-t-wor-stil-in-de-zoal-en-paulien-begon-te-speulen.wav	t wör stil in de zoal en paulien begon te speulen
wav/RB-nou-warren-ze-der-vlak-bij-en-konden-alles-van-hiel-dichtbij-bekieken.wav	nou warren ze der vlak bij en konden alles van hiel dichtbij bekieken
wav/HS-en-k-kin-nog-laank-nait-sloapen.wav	en k kin nog laank nait sloapen
wav/HS-woarom-zollen-zai-din-nog-laanger-onderdak-blieven.wav	woarom zollen zai din nog laanger onderdak blieven
wav/GD-heur-ol-pobbe-dij-aaltied-mit-op-berre-ging.wav	heur ol pobbe dij aaltied mit op berre ging
wav/RB-k-bin-gek-op-fruit.wav	k bin gek op fruit
wav/RB-ik-goa-ook-noar-huus-tou.wav	ik goa ook noar huus tou
wav/HS-en-wos-persies-wat-der-gebeurd-was.wav	en wos persies wat der gebeurd was
wav/HS-en-der-was-haildaal-niks-te-zain.wav	en der was haildaal niks te zain
wav/OV-verdail-din-de-jam-over-dien-toart.wav	verdail din de jam over dien toart
wav/OV-ze-doofde-t-vuur-en-huil-de-popkes-deroet.wav	ze doofde t vuur en huil de popkes deroet
wav/HS-dij-klonk-hol.wav	dij klonk hol
wav/GD-ze-haar-n-prachtege-lichtblaauwe-laange-jurk-aan.wav	ze haar n prachtege lichtblaauwe laange jurk aan
wav/RB-dan-warren-ze-hier-n-schofke-om-e-deur-en-dan-weer-op-n-hiel-aner-stee.wav	dan warren ze hier n schofke om e deur en dan weer op n hiel aner stee
wav/RB-mit-mekoar-goan-dkinder-kieken-woar-wilco-zit.wav	mit mekoar goan dkinder kieken woar wilco zit
wav/GD-uut-nijsgiereghaid-runde-t-hondje-noar-de-viever-in-t-paark.wav	uut nijsgiereghaid runde t hondje noar de viever in t paark
wav/GD-en-bie-dij-hege-ston-n-swieniegel.wav	en bie dij hege ston n swieniegel
wav/OV-perbaaier-de-bodem-zo-goud-meugelk-te-bedekken.wav	perbaaier de bodem zo goud meugelk te bedekken
wav/OV-hail-laank-leden-toun-der-nog-gain-minsen-op-de-wereld-waren.wav	hail laank leden toun der nog gain mìnsen op de wereld waren
wav/RB-ze-atten-heur-eerst-es-lekker-zat-en-gingen-toen-mooi-n-beetje-uutrusten.wav	ze atten heur eerst es lekker zat en gingen toen mooi n beetje uutrusten
wav/GD-ze-wollen-aiglieks-nog-aal-open-blieven.wav	ze wollen aiglieks nog aal open blieven
wav/HS-want-ze-konden-toch-nog-nait-in-toen-wezen.wav	want ze konden toch nog nait in toen wezen
wav/GD-ik-wol-dat-ik-hail-mooi-pioanospeulen-kon.wav	ik wol dat ik hail mooi pioanospeulen kon
wav/RB-allemoal-kleuren-deur-mekoar-hen.wav	allemoal kleuren deur mekoar hen
wav/GD-en-hai-gaf-hom-nog-n-stiever-stotje.wav	en hai gaf hom nog n stiever stötje
wav/RB-in-de-winkel-stoan-kisten-mit-gruinten-en-fruit-derin.wav	in de winkel stoan kisten mit gruinten en fruit derin
wav/HS-kropen-ze-wel-van-zien-rug-of-en-zollen-heur-deur-bult-hin-vrozzeln.wav	kropen ze wel van zien rug òf en zollen heur deur bult hin vrözzeln
wav/GD-dou-aal-vlugger-en-vlugger.wav	dou aal vlugger en vlugger
wav/HS-ze-heurde-dat-schoef-van-deur-of-doan-wer.wav	ze heurde dat schoef van deur òf doan wer
wav/RB-onderin-de-tas-ligt-moe-heur-poddemonnee.wav	onderin de tas ligt moe heur poddemonnee
wav/HS-daip-onder-dekens-kroepen.wav	daip onder dekens kroepen
wav/RB-n-doef-ken-je-niet-van-t-ene-stee-noar-t-aner-overplakken-die-moeten-der-zo-vanuut-t-ei-ien.wav	n doef ken je niet van t ene stee noar t aner overplakken die moeten der zo vanuut t ei ien
wav/GD-dien-tromme-nait-vergeten.wav	dien tromme nait vergeten
wav/HS-wat-is-n-toen-zunder-noakende-wiefkes.wav	wat is n toen zunder noakende wiefkes
wav/HS-haren-ze-ook-niks-meer-te-schaften-mit-aal-dij-tulpen-en-krookjes.wav	haren ze ook niks meer te schaften mit aal dij tulpen en krookjes
wav/HS-wie-pazen-goud-op-die.wav	wie pazen goud op die
wav/GD-dou-hai-zo-wit-was-as-snij-runde-t-hondje-haard-weg.wav	dou hai zo wit was as snij runde t hondje haard weg
wav/HS-wat-broene-bloaren-lagen-as-n-deken-over-grond.wav	wat broene bloaren lagen as n deken over grond
wav/RB-kinder-stoan-op-n-kloetje-op-pad.wav	kinder stoan op n kloetje op pad
wav/OV-ik-heb-n-plan-n-hail-schier-plan.wav	ik heb n plan n hail schier plan
wav/RB-mor-hai-maint-der-niks-van.wav	mor hai maint der niks van
wav/GD-wat-prikt-dat-aan-mien-tonen.wav	wat prikt dat aan mien tonen
wav/OV-aapmoal-n-beetje-aans.wav	aapmoal n beetje aans
wav/HS-doarnoa-konden-ze-heur-zulf-wel-wieder-redden.wav	doarnoa konden ze heur zulf wel wieder redden
wav/HS-heurde-ze-wat-gezang.wav	heurde ze wat gezang
wav/GD-mor-deur-t-wotter-was-aal-t-vaarve-derof-goan-en-nou-was-t-hondje-weer-net-zo-swaart-as-veurtied.wav	mor deur t wotter was aal t vaarve derof goan en nou was t hondje weer net zo swaart as veurtied
wav/GD-en-hai-snurkde-n-beetje.wav	en hai snurkde n beetje
wav/HS-en-zeg-nou-zulf.wav	en zeg nou zulf
wav/GD-dou-mie-aine.wav	dou mie aine
wav/GD-en-hai-gaf-hom-n-stotje-in-de-rogge.wav	en hai gaf hom n stötje in de rogge
wav/RB-hiel-veurzichteg-keken-de-beide-muskes-noar-beneden.wav	hiel veurzichteg keken de beide muskes noar beneden
wav/RB-ze-mossen-alles-goed-zien-kennen.wav	ze mossen alles goed zien kennen
wav/HS-dat-ze-hier-in-borg-waren.wav	dat ze hier in börg waren
wav/OV-an-alle-huze-in-de-straote-hangt-vlaggen.wav	an alle huze in de straote hangt vlaggen
wav/GD-en-ain-van-zien-stroalen-vuil-op-de-mooie-widde-staine.wav	en ain van zien stroalen vuil op de mooie widde staine
wav/GD-t-hondje-bedochde-zok-nait-en-sprong-de-viever-in.wav	t hondje bedochde zok nait en sprong de viever in
wav/HS-hou-mos-zai-derin-komen.wav	hou mos zai derin komen
wav/HS-din-beleefst-teminnent-wat.wav	din beleefst teminnent wat
wav/GD-allainde-n-beetje-klaainer-en-platter.wav	allainde n beetje klaainer en platter
wav/RB-hai-vrift-over-zien-zere-rug.wav	hai vrift over zien zere rug
wav/HS-tied-was-tied.wav	tied was tied
wav/GD-ze-konden-goud-zain-want-ze-haren-aalmoal-n-brille-op.wav	ze konden goud zain want ze haren aalmoal n brille op
wav/GD-en-je-mozzen-wel-zingen-of-je-wollen-of-nait.wav	en je mozzen wel zingen of je wollen of nait
wav/OV-toun-stoapelden-ze-holt-rondom-de-popkes-en-staken-dat-ien-brand.wav	toun stoapelden ze holt rondom de popkes en staken dat ien brand
wav/RB-de-beide-muskes-kropen-hiel-benaauwd-vot-ien-de-doevetil-zodat-gien-een-heur-zien-kon.wav	de beide muskes kropen hiel benaauwd vot ien de doevetil zodat gien een heur zien kon
wav/HS-mor-der-was-gain-wind.wav	mor der was gain wind
wav/OV-en-dus-mouken-ze-nog-meer-popkes.wav	en dus mouken ze nog meer popkes
wav/HS-mor-ze-wollen-t-toch-ook-weer-nait-stiltjes-doun.wav	mor ze wollen t toch ook weer nait stiltjes doun
wav/GD-gefeliciteerd-mit-dien-verjoardag.wav	gefeliciteerd mit dien verjoardag
wav/RB-ze-lopen-de-weg-over-noar-n-leegstoand-huus-tou.wav	ze lopen de weg over noar n leegstoand huus tou
wav/RB-wat-deden-die-mannen-doar-wel.wav	wat deden die mannen doar wel
wav/OV-ze-stoarde-noar-t-wotter-van-t-slootje-woar-ze-vlakbie-zat-en-puulde-mit-heur-handen-wat-rond-ien-de-natte-klaai.wav	ze stoarde noar t wotter van t slootje woar ze vlakbie zat en puulde mit heur handen wat rond ien de natte klaai
wav/RB-hai-vaalt-achterover-op-dgrond.wav	hai vaalt achterover op dgrond
wav/GD-inains-lag-ze-weer-op-berre-en-dou-ze-heur-ogen-open-dee-was-t-nog-routduuster.wav	inains lag ze weer op berre en dou ze heur ogen open dee was t nog routduuster
wav/HS-t-was-wel-dudelk.wav	t was wel dudelk
wav/RB-tegen-widde-kool-zeggen-wie-ook-wel-van-boeskool.wav	tegen widde kool zeggen wie ook wel van boeskool
wav/HS-as-mien-mamme-wait-dak-nait-op-ber-lig-din-is-t-nait-best.wav	as mien mamme wait dak nait op bèr lig din is t nait best
wav/OV-ze-doofden-t-vuur-en-hoalden-de-klaaipopkes-deroet.wav	ze doofden t vuur en hoalden de klaaipopkes deroet
wav/RB-de-beide-muskes-warren-toch-zo-bliede-dat-ze-al-kwetterend-n-poar-rondjes-boven-t-schoelplein-vlogen.wav	de beide muskes warren toch zo bliede dat ze al kwetterend n poar rondjes boven t schoelplein vlogen
wav/GD-in-zien-kertonnen-deuze-noast-berre.wav	in zien kertonnen deuze noast berre
wav/HS-dou-inains-heurde-ze-wat-tegen-t-roam-aan-tikken.wav	dou inains heurde ze wat tegen t roam aan tikken
wav/HS-t-was-nog-te-vroug.wav	t was nog te vroug
wav/RB-op-dstroat-blieven-ze-stoan.wav	op dstroat blieven ze stoan
wav/HS-dij-hier-nait-veur-eerste-keer-kwamen.wav	dij hier nait veur eerste keer kwamen
wav/GD-op-n-dag-haar-t-routswaarde-hondje-n-plan.wav	op n dag haar t routswaarde hondje n plan
wav/OV-d-in-mout-we-doar-votdoadelk-mit-aan-gang.wav	d in mout we doar votdoadelk mit aan gang
wav/OV-gaais-hom-ook-moaken.wav	gaais hom ook moaken
wav/RB-nou-hewwe-veur-t-feest-de-doevetil-zo-mooi-opvaarfd-en-nou-is-der-gien-doef-te-zien.wav	nou hewwe veur t feest de doevetil zo mooi opvaarfd en nou is der gien doef te zien
wav/RB-de-drinkbakjes-warren-krekt-bijvuld-zo-t-leek.wav	de drinkbakjes warren krekt bijvuld zo t leek
wav/RB-twee-lutje-muskes-zwonden-mor-wat-om.wav	twee lutje muskes zwonden mor wat om
wav/GD-aan-de-kaande-stonden-de-pabbe-en-moeke-van-t-jonkje.wav	aan de kaande stonden de pabbe en moeke van t jonkje
wav/OV-n-beetje-verschillend.wav	n beetje verschillend
wav/GD-wiert-dronk-zien-bekertje-in-ainmoal-leeg.wav	wiert dronk zien bekertje in ainmoal leeg
wav/HS-noakende-wiefkes-wollen-noamelk-noar-boeten-tou.wav	noakende wiefkes wollen noamelk noar boeten tou
wav/HS-en-zorgde-veur-aalmoal-bultjes-in-t-blaikveld-achter-t-hoes.wav	en zörgde veur aalmoal bultjes in t blaikveld achter t hoes
wav/HS-ze-haren-n-plan-opbedocht.wav	ze haren n plan opbedocht
wav/HS-pak-ons-mor-bie-haand.wav	pak ons mor bie haand
wav/HS-dat-leek-heur-zulf-t-beste-tou.wav	dat leek heur zulf t beste tou
wav/GD-ze-keek-noar-t-nachtkassie-mor-kon-de-staine-nait-zain.wav	ze keek noar t nachtkassie mor kon de staine nait zain
wav/HS-t-rook-der-muf.wav	t rook der muf
wav/OV-hai-is-slim-lekker.wav	hai is slim lekker
wav/RB-n-allerliefst-mooi-huuske-veur-heur-beident.wav	n allerliefst mooi huuske veur heur beident
wav/HS-of-en-tou-woarschaauwde-traain-deur-bie-spoorovergaang-te-toetern.wav	of en tou woarschaauwde traain deur bie spoorovergaang te toetern
wav/HS-en-dikke-tulpenbollen-dij-hail-groot-en-staark-waren-zeden-t-zulfde.wav	en dikke tulpenbollen dij hail groot en staark waren zeden t zulfde
wav/RB-de-beide-muskes-werden-zo-neisgiereg-dat-ze-zomor-van-t-bredje-of-vlogen-en-aan-de-overkaant-van-t-schoelplein-op-de-geut-van-n-boerderij-zitten-gingen.wav	de beide muskes werden zo neisgiereg dat ze zomor van t bredje òf vlogen en aan de overkaant van t schoelplein op de geut van n boerderij zitten gingen
wav/HS-stil-ofwachten.wav	stil ofwachten
wav/GD-en-hai-was-hail-glad.wav	en hai was hail glad
wav/RB-want-den-glieden-dmensen-derover-uut.wav	want den glieden dmensen derover uut
wav/RB-de-gruinteboer-staait-mit-n-blaauw-schoet-veur-achter-de-teunbaank.wav	de gruinteboer staait mit n blaauw schoet veur achter de teunbaank
wav/HS-en-ze-woarschaauwden-heur-ook-nog.wav	en ze woarschaauwden heur ook nog
wav/GD-mor-wie-reken-op-die.wav	mor wie reken op die
wav/HS-veurlopeg-even-nait.wav	veurlopeg even nait
wav/HS-zo-vlogen-zover-meulenweg-vlak-bie-bomen-laangs.wav	zo vlogen zover meulenweg vlak bie bomen laangs
wav/HS-wat-kon-ze-nou-toch-bedenken-om-te-doun-ze-verveelde-heur.wav	wat kon ze nou toch bedenken om te doun ze verveelde heur
wav/HS-en-dou-kon-ze-der-ook-in.wav	en dou kon ze der ook in
wav/HS-en-dou-mouken-ze-n-grode-bocht-noar-links.wav	en dou mouken ze n grode bocht noar links
wav/HS-aandere-winters-vil-der-snij.wav	aandere winters vil der snij
wav/RB-de-gruinteboer-knipt-in-zien-rooie-wangen.wav	de gruinteboer knipt in zien rooie wangen
wav/OV-loat-we-nog-n-poar-moaken.wav	loat we nog n poar moaken
wav/RB-ze-begunnen-aalbaaident-te-giebeln.wav	ze begunnen aalbaaident te giebeln
wav/HS-t-was-heur-zulfs-nog-te-vris.wav	t was heur zulfs nog te vris
wav/OV-is-de-koning-weer-jeureg.wav	is de koning weer jeureg
wav/RB-dij-gruine-bloadjes-luzzen-ons-knientjes-ook-groag.wav	dij gruine bloadjes luzzen ons knientjes ook groag
wav/RB-t-kon-wel-feest-weden.wav	t kon wel feest weden
wav/HS-as-der-din-zon-lozze-bult-zaand-aarns-in-t-gras-lag.wav	as der din zon lözze bult zaand aarns in t gras lag
wav/HS-deur-aal-dij-gaangen-onder-grond.wav	deur aal dij gaangen onder grond
wav/RB-ze-trekken-kroezen-boven-dogen.wav	ze trekken kroezen boven dogen
wav/RB-allemoal-mooie-koamerkes.wav	allemoal mooie koamerkes
wav/HS-en-was-bodem-haard-vroren.wav	en was bodem haard vroren
wav/HS-t-was-november-en-hail-stil-boetendeur.wav	t was november en hail stil boetendeur
wav/HS-en-dou-mozzen-ze-nog-n-poar-treden-noar-kelder-tou.wav	en dou mozzen ze nog n poar treden noar kelder tou
wav/HS-ze-deden-niks-aans-as-sloapen.wav	ze deden niks aans as sloapen
wav/GD-hai-leek-wel-n-kloune-braaigoaren-zo-zachte-en-zo-rond.wav	hai leek wel n kloune braaigoaren zo zachte en zo rond
wav/GD-en-doar-zatten-ze-van-smorgens-vroug-tot-soavends-loat-in.wav	en doar zatten ze van smörgens vroug tot soavends loat in
wav/OV-ienainen-kreeg-ze-n-idee.wav	ienainen kreeg ze n idee
wav/RB-ze-lopen-noar-de-gruinteboer-tou.wav	ze lopen noar de gruinteboer tou
wav/HS-nee-der-overkomt-die-niks.wav	nee der overkomt die niks
wav/GD-hailmoal-in-n-knoedeltje-op-n-dikke-waarme-scheuveltruie.wav	hailmoal in n knoedeltje op n dikke waarme scheuveltruie
wav/GD-n-haile-gehaimzinnege-hudde-hur.wav	n haile gehaimzinnege hudde hur
wav/HS-zai-vertelde-t-deur-aan-heur-vrundjes-en-dou-waren-ze-nait-meer-te-holden.wav	zai vertelde t deur aan heur vrundjes en dou waren ze nait meer te holden
wav/RB-gelukkeg-is-ales-nog-goudkomen.wav	gelukkeg is ales nog goudkomen
wav/GD-tegelstroatje-wuir-hailendal-wit.wav	tegelstroatje wuir hailendal wit
wav/RB-over-zien-wang-kropt-n-dikke-troan.wav	over zien wang kropt n dikke troan
wav/GD-mor-t-is-gain-gewone-staine.wav	mor t is gain gewone staine
wav/GD-mor-dou-ze-goud-keek-zag-ze-dat-t-n-klaain-vogeltje-was.wav	mor dou ze goud keek zag ze dat t n klaain vogeltje was
wav/OV-loat-dit-drij-minuten-koken.wav	loat dit drij minuten koken
wav/RB-geert-geft-zien-braifie-aan-gruinteboer-appel.wav	geert geft zien braifie aan gruinteboer appel
wav/GD-en-in-heur-handen-haar-ze-klongel.wav	en in heur handen haar ze klongel
wav/OV-dizze-keer-waren-summegen-prachteg-gitzwaart-worden.wav	dizze keer waren summegen prachteg gitzwaart worden
wav/GD-verwonderd-heurde-paulien-dat-aan.wav	verwonderd heurde paulien dat aan
wav/GD-alemoal-in-haile-mooie-klaaier.wav	alemoal in haile mooie klaaier
wav/HS-en-kregen-smoak-goud-te-pakken.wav	en kregen smoak goud te pakken
wav/OV-nou-is-t-tied-om-heur-leven-ien-te-bloazen.wav	nou is t tied om heur leven ien te bloazen
wav/GD-inains-docht-ze-aan-heur-pioanoles-dij-ze-vanmiddag-haildal-verbruddeld-haar.wav	inains docht ze aan heur pioanoles dij ze vanmiddag haildal verbruddeld haar
wav/GD-nou-ston-dat-lutje-hondje-in-de-keuken.wav	nou ston dat lutje hondje in de keuken
wav/GD-zulfs-zien-koppie-muik-hai-hailmoal-wit.wav	zulfs zien koppie muik hai hailmoal wit
wav/OV-hou-mos-ze-dat-toch-veraandern.wav	hou mos ze dat toch veraandern
wav/HS-mor-daandere-bloumbollen-raipen-dat-t-nog-veuls-te-kold-was.wav	mor daandere bloumbollen raipen dat t nog veuls te kold was
